lga_name,month,bev_seen
Mackay,2023-10,109
Maranoa,2023-10,3
Mareeba,2023-10,24
Moreton Bay,2023-10,1666
Mount Isa,2023-10,5
Noosa,2023-10,331
North Burnett,2023-10,1
Redland,2023-10,623
Rockhampton,2023-10,104
Scenic Rim,2023-10,131
Somerset,2023-10,28
South Burnett,2023-10,33
Southern Downs,2023-10,37
Sunshine Coast,2023-10,1527
Tablelands,2023-10,32
Toowoomba,2023-10,338
Townsville,2023-10,371
Western Downs,2023-10,23
Whitsunday,2023-10,24
Banana,2023-11,4
Brisbane,2023-11,12253
Bundaberg,2023-11,111
Burdekin,2023-11,7
Cairns,2023-11,398
Cassowary Coast,2023-11,24
Central Highlands,2023-11,21
Cook,2023-11,1
Douglas,2023-11,29
Etheridge,2023-11,1
Fraser Coast,2023-11,154
Gladstone,2023-11,55
Gold Coast,2023-11,4272
Goondiwindi,2023-11,3
Gympie,2023-11,75
Hinchinbrook,2023-11,3
Ipswich,2023-11,899
Isaac,2023-11,8
Livingstone,2023-11,42
Lockyer Valley,2023-11,67
Logan,2023-11,1265
Mackay,2023-11,121
Maranoa,2023-11,3
Mareeba,2023-11,25
Moreton Bay,2023-11,1834
Mount Isa,2023-11,5
Noosa,2023-11,373
North Burnett,2023-11,2
Redland,2023-11,696
Rockhampton,2023-11,115
Scenic Rim,2023-11,147
Somerset,2023-11,33
South Burnett,2023-11,35
Southern Downs,2023-11,41
Sunshine Coast,2023-11,1649
Tablelands,2023-11,33
Toowoomba,2023-11,364
Townsville,2023-11,399
Western Downs,2023-11,26
Whitsunday,2023-11,24
Banana,2023-12,4
Brisbane,2023-12,12967
Bundaberg,2023-12,121
Burdekin,2023-12,8
Cairns,2023-12,419
Cassowary Coast,2023-12,27
Central Highlands,2023-12,22
Charters Towers,2023-12,2
Cook,2023-12,1
Douglas,2023-12,31
Etheridge,2023-12,1
Flinders,2023-12,1
Fraser Coast,2023-12,158
Gladstone,2023-12,60
Gold Coast,2023-12,4488
Goondiwindi,2023-12,3
Gympie,2023-12,78
Hinchinbrook,2023-12,3
Ipswich,2023-12,961
Isaac,2023-12,8
Livingstone,2023-12,47
Lockyer Valley,2023-12,71
Logan,2023-12,1359
Mackay,2023-12,127
Maranoa,2023-12,3
Mareeba,2023-12,26
Moreton Bay,2023-12,1950
Mount Isa,2023-12,5
Murweh,2023-12,1
Noosa,2023-12,384
North Burnett,2023-12,2
Redland,2023-12,748
Rockhampton,2023-12,127
Scenic Rim,2023-12,151
Somerset,2023-12,35
South Burnett,2023-12,36
Southern Downs,2023-12,42
Sunshine Coast,2023-12,1755
Tablelands,2023-12,33
Toowoomba,2023-12,374
Townsville,2023-12,427
Western Downs,2023-12,26
Whitsunday,2023-12,24
Balonne,2024-01,1
Banana,2024-01,4
Brisbane,2024-01,13625
Bundaberg,2024-01,131
Burdekin,2024-01,8
Cairns,2024-01,453
Cassowary Coast,2024-01,29
Central Highlands,2024-01,22
Charters Towers,2024-01,2
Cook,2024-01,1
Douglas,2024-01,31
Etheridge,2024-01,1
Flinders,2024-01,1
Fraser Coast,2024-01,172
Gladstone,2024-01,66
Gold Coast,2024-01,4683
Goondiwindi,2024-01,3
Gympie,2024-01,84
Hinchinbrook,2024-01,4
Ipswich,2024-01,1030
Isaac,2024-01,9
Livingstone,2024-01,54
Lockyer Valley,2024-01,77
Logan,2024-01,1415
Mackay,2024-01,137
Maranoa,2024-01,3
Mareeba,2024-01,27
Moreton Bay,2024-01,2073
Mount Isa,2024-01,6
Murweh,2024-01,1
Noosa,2024-01,402
North Burnett,2024-01,2
Redland,2024-01,769
Rockhampton,2024-01,135
Scenic Rim,2024-01,157
Somerset,2024-01,37
South Burnett,2024-01,37
Southern Downs,2024-01,43
Sunshine Coast,2024-01,1852
Tablelands,2024-01,34
Toowoomba,2024-01,396
Townsville,2024-01,463
Western Downs,2024-01,25
Whitsunday,2024-01,25
Balonne,2024-02,1
Banana,2024-02,6
Brisbane,2024-02,14559
Bundaberg,2024-02,147
Burdekin,2024-02,8
Cairns,2024-02,470
Cassowary Coast,2024-02,31
Central Highlands,2024-02,23
Charters Towers,2024-02,3
Cook,2024-02,1
Douglas,2024-02,32
Etheridge,2024-02,1
Flinders,2024-02,1
Fraser Coast,2024-02,182
Gladstone,2024-02,72
Gold Coast,2024-02,4998
Goondiwindi,2024-02,4
Gympie,2024-02,89
Hinchinbrook,2024-02,5
Ipswich,2024-02,1115
Isaac,2024-02,11
Livingstone,2024-02,59
Lockyer Valley,2024-02,85
Logan,2024-02,1518
Mackay,2024-02,145
Maranoa,2024-02,4
Mareeba,2024-02,29
Moreton Bay,2024-02,2217
Mount Isa,2024-02,7
Murweh,2024-02,1
Noosa,2024-02,421
North Burnett,2024-02,2
Redland,2024-02,829
Rockhampton,2024-02,151
Scenic Rim,2024-02,168
Somerset,2024-02,44
South Burnett,2024-02,39
Southern Downs,2024-02,46
Sunshine Coast,2024-02,1966
Tablelands,2024-02,37
Toowoomba,2024-02,422
Townsville,2024-02,498
Western Downs,2024-02,27
Whitsunday,2024-02,29
Balonne,2024-03,1
Banana,2024-03,6
Brisbane,2024-03,15554
Bundaberg,2024-03,161
Burdekin,2024-03,9
Cairns,2024-03,493
Cassowary Coast,2024-03,34
Central Highlands,2024-03,26
Charters Towers,2024-03,3
Cook,2024-03,1
Douglas,2024-03,36
Etheridge,2024-03,1
Flinders,2024-03,1
Fraser Coast,2024-03,195
Gladstone,2024-03,82
Gold Coast,2024-03,5350
Goondiwindi,2024-03,4
Gympie,2024-03,96
Hinchinbrook,2024-03,5
Ipswich,2024-03,1218
Isaac,2024-03,12
Livingstone,2024-03,66
Lockyer Valley,2024-03,90
Logan,2024-03,1628
Mackay,2024-03,160
Maranoa,2024-03,4
Mareeba,2024-03,30
Moreton Bay,2024-03,2372
Mount Isa,2024-03,7
Murweh,2024-03,1
Noosa,2024-03,441
North Burnett,2024-03,3
Redland,2024-03,890
Rockhampton,2024-03,157
Scenic Rim,2024-03,174
Somerset,2024-03,46
South Burnett,2024-03,43
Southern Downs,2024-03,50
Sunshine Coast,2024-03,2086
Tablelands,2024-03,42
Toowoomba,2024-03,456
Townsville,2024-03,559
Western Downs,2024-03,28
Whitsunday,2024-03,36
Balonne,2024-04,1
Banana,2024-04,6
Brisbane,2024-04,16204
Bundaberg,2024-04,172
Burdekin,2024-04,10
Cairns,2024-04,516
Cassowary Coast,2024-04,36
Central Highlands,2024-04,27
Charters Towers,2024-04,3
Cook,2024-04,1
Douglas,2024-04,37
Etheridge,2024-04,1
Flinders,2024-04,1
Fraser Coast,2024-04,206
Gladstone,2024-04,82
Gold Coast,2024-04,5526
Goondiwindi,2024-04,4
Gympie,2024-04,99
Hinchinbrook,2024-04,5
Ipswich,2024-04,1272
Isaac,2024-04,14
Livingstone,2024-04,71
Lockyer Valley,2024-04,99
Logan,2024-04,1711
Mackay,2024-04,165
Maranoa,2024-04,4
Mareeba,2024-04,34
Moreton Bay,2024-04,2515
Mount Isa,2024-04,7
Murweh,2024-04,1
Noosa,2024-04,457
North Burnett,2024-04,3
Redland,2024-04,918
Rockhampton,2024-04,176
Scenic Rim,2024-04,182
Somerset,2024-04,45
South Burnett,2024-04,45
Southern Downs,2024-04,50
Sunshine Coast,2024-04,2171
Tablelands,2024-04,44
Toowoomba,2024-04,475
Townsville,2024-04,599
Western Downs,2024-04,29
Whitsunday,2024-04,40
Balonne,2024-05,1
Banana,2024-05,6
Brisbane,2024-05,17257
Bundaberg,2024-05,180
Burdekin,2024-05,12
Cairns,2024-05,546
Cassowary Coast,2024-05,39
Central Highlands,2024-05,27
Charters Towers,2024-05,6
Cook,2024-05,1
Douglas,2024-05,39
