postcode,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,battery_kwh,battery_n,solar_kw,solar_n,chg_sites,chg_fast,chg_points
3357,3762,1531,3113,3133,3201,3212,3252,0,6,11,20,34,1773.35,76,4464.658,711,1,0,1
3358,3432,1262,1761,2238,2768,3464,4352,3,0,5,8,20,2323.754,89,4056.975,594,0,0,0
3360,801,440,816,834,856,859,876,0,0,0,3,4,515.302,21,1044.675,176,0,0,0
3361,690,351,750,730,733,741,766,0,0,0,0,0,364.332,11,824.74,127,0,0,0
3363,3610,1699,3157,3210,3197,3210,3253,0,3,8,10,19,1379.685,63,5348.059,797,2,1,4
3364,2255,1071,2356,2351,2389,2387,2413,0,3,3,5,13,1652.989,61,3702.897,529,0,0,0
3370,1889,1032,1886,1942,1945,1896,1915,0,3,6,12,19,579.912,25,2736.085,474,0,0,0
3371,1085,662,1195,1220,1248,1245,1265,0,0,3,4,5,563.308,25,1749.51,325,0,0,0
3373,2474,1291,2618,2703,2711,2749,2845,0,0,7,13,10,1494.006,57,3884.897,575,1,1,4
3374,424,219,415,438,444,475,476,0,0,0,0,0,216.002,7,917.05,108,0,0,0
3377,9564,4338,7970,8032,8089,8077,8221,3,3,5,16,23,2544.528,104,9615.75199999999,1571,3,2,6
3379,750,413,815,840,868,852,846,0,0,0,0,0,305.28,9,779.56,128,0,0,0
3380,6226,3061,5644,5670,5734,5792,5882,0,3,3,3,6,1011.57,43,6422.398,921,2,2,14
3381,1402,949,1231,1302,1320,1307,1332,0,3,4,0,4,522.21,23,2549.253,347,2,0,4
3384,592,308,703,730,753,764,798,0,0,0,0,0,216.68,8,842.717,137,0,0,0
3385,549,269,597,611,605,603,629,0,0,0,4,4,307.442,10,934.025,137,0,0,0
3388,560,287,654,677,664,673,708,0,0,0,0,0,149.96,6,616.215,113,0,0,0
3390,956,509,916,934,950,944,959,0,0,0,0,0,138.19,7,1081.007,200,0,0,0
3392,587,331,610,615,625,647,636,0,3,3,3,0,82,5,628.45,122,0,0,0
3393,2603,1403,2687,2675,2734,2729,2797,0,0,0,4,4,602.906,28,3257.09,518,1,1,2
3395,341,190,525,544,547,558,553,0,0,0,0,0,85.4,3,644.477,113,0,0,0
3396,694,406,747,742,740,774,798,0,0,0,3,3,216.65,6,1026.5,165,1,1,1
3400,15125,7325,12896,13147,13236,13198,13478,7,10,10,17,28,2213.424,91,16127.893,2264,2,2,16
3401,4597,1970,4636,4739,4862,4893,5008,0,0,3,8,10,1303.978,46,6890.651,955,0,0,0
3402,0,0,36,31,32,28,26,0,0,0,0,0,0,0,90.74,23,0,0,0
3407,412,244,505,518,537,534,537,0,0,0,0,0,135,4,479.638,76,0,0,0
3409,984,520,1053,1086,1060,1075,1080,0,0,3,0,0,242.56,9,1336.085,244,0,0,0
3414,1742,995,1728,1749,1772,1765,1741,0,0,3,0,0,641.222,23,2332.535,414,1,0,1
3418,2855,1389,2862,2874,2883,2894,2939,0,0,0,3,3,370.55,15,2953.546,533,2,1,5
3419,893,475,970,962,950,939,933,0,0,0,0,0,61.2,2,1023.462,192,2,2,11
3424,761,464,903,911,937,927,920,0,0,0,0,0,196.55,9,1199.375,183,0,0,0
3427,5680,2313,3920,4182,4575,4910,5359,0,6,16,34,58,3949.014,133,7324.616,1105,0,0,0
3428,671,247,671,683,682,702,710,0,0,0,4,3,529.976,16,1175.186,133,0,0,0
3429,39098,15385,29232,29317,29729,30418,32014,8,18,48,129,270,22638.09,829,44581.222,7078,3,1,3
3431,4402,1640,3806,3983,4000,4035,4139,0,3,10,19,37,2727.518,95,5666.235,874,0,0,0
3434,6155,2345,5406,5581,5591,5646,5777,0,3,9,18,40,3256.57,108,7460.26,1127,1,1,1
3435,3221,1364,3061,3241,3335,3384,3382,10,11,13,15,25,1926.887,72,4792.935,686,1,1,1
3437,11707,4283,9410,9655,9739,10090,10622,7,11,35,83,139,8047.57,280,16267.288,2163,0,0,0
3438,2503,885,2106,2156,2207,2309,2428,0,3,3,8,15,2020.318,72,3877.779,472,0,0,0
3440,2069,776,1825,1876,1899,1908,1900,0,4,5,18,28,1274.504,41,2300.021,337,1,1,1
3441,1451,640,1300,1330,1345,1357,1341,4,7,14,21,30,963.092,33,1664.151,196,0,0,0
3442,8571,3624,7028,7232,7345,7395,7675,8,19,34,72,125,6608.485,245,12979.269,2003,1,1,2
3444,10049,4640,9095,9318,9498,9503,9638,5,13,39,63,95,4413.552,187,14858.684,2170,2,2,4
3446,1099,519,1072,1084,1073,1107,1127,0,0,0,5,12,452.9,26,1698.647,303,0,0,0
3447,526,268,541,577,579,568,557,0,0,0,0,0,457.038,19,1024.358,176,0,0,0
3448,985,496,1055,1113,1124,1138,1176,0,0,0,4,10,609.362,25,1804.287,314,0,0,0
3450,7610,3756,5893,6013,5992,5998,6078,7,19,34,59,88,2816.037,160,9010.006,1869,2,1,5
3451,5844,2786,4975,5188,5346,5378,5536,4,11,19,40,66,3530.176,168,8952.295,1568,0,0,0
3453,1856,823,1741,1840,1891,1922,1965,0,3,5,7,7,1128.744,47,3342.42,555,1,1,1
3458,2318,1398,2341,2426,2417,2439,2445,5,7,12,27,38,1697.702,75,4612.355,653,1,1,50
3460,2821,2017,2703,2794,2768,2749,2772,5,10,22,22,34,1655.384,74,4514.381,682,3,1,6
3461,4637,2891,4614,4845,4843,4819,4969,10,14,20,41,69,3081.323,129,7904.566,1295,0,0,0
3462,1235,685,1244,1302,1313,1284,1311,0,0,5,6,9,641.286,28,1635.012,360,0,0,0
3463,2561,1494,2817,2891,2960,2960,2955,0,3,11,23,33,1241.802,51,4151.088,805,0,0,0
3464,1184,515,1116,1159,1148,1152,1191,0,0,0,0,3,437.916,19,1944.75,267,0,0,0
3465,10103,5153,8928,9074,9129,9143,9302,3,3,9,15,20,3987.988,158,13383.785,2145,1,1,2
3467,1370,660,1429,1457,1456,1481,1467,0,0,0,0,0,684,24,1917.506,345,1,1,1
3472,1494,852,1643,1705,1788,1774,1797,0,0,0,0,0,602.626,26,2216.2,460,0,0,0
3477,841,437,927,945,974,988,975,0,0,0,3,3,345.19,11,1202.643,209,0,0,0
3478,2577,1447,2567,2655,2661,2693,2696,0,0,0,0,3,1289.424,45,3739.824,573,1,1,1
3480,1804,914,1850,1873,1886,1928,1937,0,0,0,3,3,578.904,22,2931.175,363,1,1,1
3483,876,474,1000,1011,1021,1032,1040,0,0,0,0,0,294.708,13,1302.33,192,0,0,0
3490,1296,700,1343,1332,1333,1376,1369,0,0,0,0,0,272.738,13,1866.28,232,2,2,2
3494,639,353,772,752,770,802,823,0,0,0,0,0,212.83,10,1898.857,118,0,0,0
3496,6446,2840,5957,5937,5982,5997,6034,0,0,3,3,6,1326.996,60,11235.279,1345,0,0,0
3498,5984,2401,5215,5467,5590,5669,5795,0,0,3,3,7,1783.19,75,11279.851,1208,0,0,0
3500,34594,15659,28459,28806,28906,29263,30080,9,15,23,57,86,7421.732,288,44948.108,5625,2,2,5
3501,2119,820,2730,2850,2997,2946,2963,0,0,3,5,7,927.518,29,5143.431,554,0,0,0
3502,0,0,200,205,217,225,234,0,0,0,0,0,0,0,337.295,53,0,0,0
3505,4980,2123,4569,4642,4675,4737,4773,0,0,0,5,4,1534.354,58,8659.2,1047,0,0,0
3512,368,189,417,410,422,424,418,0,0,0,0,0,78.4,3,457.115,85,2,2,2
3515,2496,921,1974,2131,2218,2320,2415,0,0,3,7,10,1747.266,65,4202.97,606,1,1,4
3516,721,387,787,801,829,846,836,0,0,0,0,0,336.474,11,1075.055,166,0,0,0
3517,1502,776,1478,1496,1486,1540,1586,0,0,3,4,5,1219.222,42,2601.398,424,1,1,2
3518,1309,807,1571,1664,1669,1688,1706,0,0,0,0,0,349.41,15,1856.129,353,1,1,2
3521,770,300,741,745,752,754,765,0,0,0,3,0,440.15,14,1132.897,171,0,0,0
3523,3943,2411,4233,4370,4433,4489,4560,3,0,5,24,31,2333.762,92,7235.376,1187,1,1,2
3525,1392,781,1380,1385,1417,1431,1444,0,0,0,0,0,292.81,11,2104.378,330,0,0,0
3527,741,429,796,818,831,861,860,0,0,0,0,3,262.34,9,1220.638,178,2,1,6
3533,756,444,821,824,848,862,879,0,0,0,0,0,285.344,8,1267.835,169,1,1,2
3537,1118,558,1032,1062,1077,1075,1101,0,0,0,0,0,411,19,1971.461,247,0,0,0
3546,336,180,504,501,514,534,519,0,0,0,0,0,73.34,4,604.535,98,0,0,0
3549,4029,1479,4283,4398,4373,4461,4476,0,0,0,0,3,1313.21,28,10014.054,626,1,1,1
3550,41824,19888,33858,34605,34771,34609,35281,29,48,84,148,256,12694.785,542,41709.099,6383,4,4,13
3551,35531,13137,29257,30536,31512,32189,33479,10,27,55,125,189,21749.951,809,54871.965,8183,1,0,1
3555,21001,9596,16114,16353,16461,16655,17137,6,8,15,44,70,5394.701,237,20778.787,3456,0,0,0
3556,14119,6228,11208,11420,11609,11810,12063,0,3,7,14,29,4050.938,175,14279.003,2630,0,0,0
3557,841,362,935,963,1006,1028,1025,0,0,0,0,0,325.692,12,1151.969,182,0,0,0
3558,965,511,1045,1072,1097,1129,1093,0,0,0,3,0,451.254,21,1408.109,237,0,0,0
3559,559,293,573,609,611,620,639,0,3,3,0,3,149.7,5,862.1,94,0,0,0
3561,4474,2113,4586,4634,4745,4556,4545,0,0,3,15,16,1443.952,60,8451.901,1131,0,0,0
3563,856,368,758,772,781,781,791,0,0,0,3,0,536.28,18,1587.825,212,0,0,0
3564,17084,7773,16730,17428,17606,17805,18190,3,7,11,23,37,6414.166,276,28105.897,3943,1,0,1
3566,569,304,592,631,626,622,621,0,0,0,0,0,264.79,7,1311.17,138,0,0,0
3567,668,341,760,728,741,737,759,0,0,0,0,0,666.22,15,2418.26,179,0,0,0
3568,2955,1474,3125,3338,3357,3384,3474,0,0,0,0,0,1556.75,54,6547.26,741,1,0,1
3570,842,379,808,835,858,880,880,0,0,0,0,0,356.12,15,1102.265,214,0,0,0
3573,346,178,383,385,397,404,405,0,0,0,0,0,242.7,9,955.855,82,0,0,0
3575,850,417,855,851,865,883,906,0,0,0,3,0,85.26,5,1432.085,180,0,0,0
3579,5445,2714,5173,5273,5311,5339,5385,3,3,3,4,4,1391.45,47,9621.753,1234,2,2,4
3580,1091,552,1182,1238,1242,1273,1291,0,0,0,0,0,362.264,13,1780.06,265,0,0,0
3584,1151,548,1068,1096,1110,1108,1125,0,0,3,3,3,717.7,22,2133.67,247,0,0,0
3585,11544,5232,10647,10731,10769,10940,11176,3,0,3,11,10,3165.874,109,17120.097,2040,1,1,2
3586,797,316,699,727,713,732,755,0,0,0,0,0,470.2,11,1444.769,147,0,0,0
3588,410,163,335,344,341,354,366,0,0,0,0,0,124.97,6,729.685,106,0,0,0
3589,351,168,435,422,414,431,437,0,0,0,0,0,231.8,5,985.718,68,0,0,0
3594,535,297,634,639,611,622,637,0,0,0,0,0,64.906,4,878.475,156,0,0,0
3595,687,331,638,655,618,616,631,0,0,0,0,0,44.8,2,820.7,165,0,0,0
3597,461,267,648,643,635,658,672,0,0,0,0,0,96,1,1715.307,96,0,0,0
