osm_id,lat,lon,name,operator,access,capacity,fast,lga_code,vic_postcode,state
node/7140188595,-29.427045,153.2391675,Tesla Supercharger,Tesla,yes,4,TRUE,11730,,NSW
node/9712759905,-31.4988063,145.8376295,NRMA,NRMA,"",,FALSE,11750,,NSW
node/10861584624,-30.3177072,153.0898333,Chargefox Coffs Harbour,Chargefox,"",,TRUE,11800,,NSW
node/5004854821,-30.2814283,153.1315933,Tesla Supercharger,Tesla,yes,6,TRUE,11800,,NSW
node/12437997269,-30.2044092,153.1497971,Tesla Supercharger,Tesla,yes,15,TRUE,11800,,NSW
way/1459249999,-30.2739318,153.132588,Tesla Supercharger,Tesla,yes,16,TRUE,11800,,NSW
node/12884898642,-34.8130868,147.2016407,Exploren,Exploren,"",,FALSE,12000,,NSW
node/12884903427,-34.7932886,147.0386296,Exploren,Exploren,"",,FALSE,12000,,NSW
node/13928456263,-34.3538338,146.9019292,Exploren,Exploren,"",,TRUE,12000,,NSW
node/9278715200,-30.9527945,148.3878551,NRMA,NRMA,"",,FALSE,12150,,NSW
node/12442429578,-34.6396971,148.0262872,Exploren,Exploren,"",,FALSE,12160,,NSW
node/13525320796,-35.0010157,148.1106312,NRMA,NRMA,"",2,TRUE,12160,,NSW
node/4027667916,-35.0021004,148.1098598,Tesla Supercharger,Tesla,yes,6,TRUE,12160,,NSW
node/13146732524,-34.9238501,148.165815,Tesla Supercharger,Tesla,yes,12,TRUE,12160,,NSW
node/8253300980,-33.8340931,148.6944413,NRMA,NRMA,"",,TRUE,12350,,NSW
node/9619986125,-33.8354773,148.6817349,Tesla Destination Charger,Tesla,"",2,FALSE,12350,,NSW
node/13309446883,-33.8340627,150.9879587,AmpCharge,AmpCharge,"",6,TRUE,12380,,NSW
node/11004256023,-33.8521007,150.9955859,Evie Networks,Evie Networks,"",2,TRUE,12380,,NSW
node/13804420298,-33.8160921,150.9690811,Evie Networks,Evie Networks,"",4,TRUE,12380,,NSW
node/12986963882,-32.1956615,148.8979684,15A wall receptacles,Hair of the Dog Hotel,customers,4,FALSE,12390,,NSW
way/1550315721,-32.5551366,148.9437259,Chargefox,Chargefox,"",4,TRUE,12390,,NSW
node/6759463884,-32.2493739,148.609354,NRMA,NRMA,"",2,TRUE,12390,,NSW
way/1550315648,-32.2546958,148.5885473,NRMA,NRMA,"",4,TRUE,12390,,NSW
node/6456722833,-32.2499278,148.6091712,Tesla Supercharger,Tesla,yes,4,TRUE,12390,,NSW
node/7370327570,-35.7099111,150.1774214,Evie Networks,Evie Networks,"",1,TRUE,12750,,NSW
node/6512442081,-35.7084845,150.1752344,NRMA,NRMA,"",1,TRUE,12750,,NSW
node/10026076729,-35.7096667,150.173894,NRMA,NRMA,"",2,TRUE,12750,,NSW
node/13244827463,-35.913824,150.0792424,NRMA,NRMA,"",2,TRUE,12750,,NSW
node/11927615171,-36.0862522,150.0494289,Tesla Destination Charger,Bodalla Cheese Factory,"",,FALSE,12750,,NSW
node/5758577851,-36.2231879,150.1284524,Tesla Supercharger,Tesla,yes,4,TRUE,12750,,NSW
node/12854473381,-35.7186596,150.1900931,Tesla Supercharger,Tesla,"",6,TRUE,12750,,NSW
node/11048936553,-33.8504225,150.898387,Engie,Engie,yes,2,TRUE,12850,,NSW
node/9215252226,-33.8988886,150.9199428,Evie Networks,Evie Networks,"",,TRUE,12850,,NSW
node/13185195202,-33.8795126,150.9781193,Evie Networks,Evie Networks,"",4,TRUE,12850,,NSW
