lga_code,state,lga_name,median_income,earners,income_group,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,solar_n,solar_kw,battery_n,battery_kwh,chg_sites,chg_fast,chg_points
26980,VIC,Whitehorse,55000,119608,2,169391,71670,113993,114391,116812.3,119008,121680.9,145.8,354.8,822.3,1665.7,2659.7,17630.8,109951.9,2990.8,92773.1,5,4,23
27070,VIC,Whittlesea,57797,147256,3,229455,83028,155419.6,157866.3,162512.5,168480.4,175533.3,58,146,385.6,881.1,1509.2,32259.8,213021.5,3788.9,120274.4,6,4,11
27170,VIC,Wodonga,57650,28411,3,43197,18179,38849.3,39812,40801.1,41136.9,42074.3,14.8,34.1,61.1,113.9,164.9,8847.4,61148,860.7,20071.8,3,3,15
27260,VIC,Wyndham,58205,200178,3,291917,100239,180220,186686.4,197180.9,207754.5,219897.8,118.3,331.8,915.4,2117.2,3519.3,56140.1,371378.1,8155.5,278530.8,10,8,31
27350,VIC,Yarra,77630,71498,5,90235,50022,54199,54747.9,55396.8,56646,56542.8,186.3,296.8,512.2,984.2,1495.8,4542.8,29862.5,441.1,10080.4,13,7,32
27450,VIC,Yarra Ranges,58444,104399,3,156136,61560,124730.3,124991,125895.6,127241.7,129851.2,83.7,155.5,312.7,649.4,1114.9,22038.6,145751.5,2526.9,69603.1,7,5,14
27630,VIC,Yarriambiack,51964,3957,1,6542,3618,7085,7153,7232.8,7328.6,7430.3,0,3,3,10.3,7.3,1430,8570.5,61.7,1423.4,2,2,3
50080,WA,Albany,50791,26276,1,38721,17952,33380.8,34051.5,34837,35683.6,36541.3,11,16,32,79,123.1,5307.2,29437,351.2,5816.1,2,0,10
50210,WA,Armadale,62650,63770,2,94198,36267,66332,68198.7,70812.4,74408.9,78444.9,35,70,181,472.9,854.8,25155.4,141897.9,2939.4,68038.5,0,0,0
50250,WA,Ashburton,112881,3936,5,7406,3745,4059,4054,4032,4155,4201,0,0,0,0,0,367,4268.1,6,398.5,1,1,3
50280,WA,Augusta-Margaret River,45304,13805,1,16736,8947,14738,15500,16129,16881,17844,8,22,47,78,136,3776,26268.1,406,8243.2,4,2,6
50350,WA,Bassendean,67064,10890,5,15921,7239,13606.4,13922,14365.8,14880.9,15135,9.9,20.5,49.3,83.5,151,3400.6,18899.9,307.6,6065.2,0,0,0
50420,WA,Bayswater,63066,51064,3,69235,32120,52497.5,53125.5,54908.8,57538.4,59262.5,37.1,91.7,197.8,461.4,790.3,12087.6,69389,1294.8,27161.5,1,0,1
50490,WA,Belmont,63304,32497,3,42279,20285,45843.9,48616.1,52956.7,56341.6,57364.3,46,80,169,425.9,593.9,6552,42585.9,719,15904,0,0,0
50560,WA,Beverley,50681,1046,1,1683,967,1899.4,1949.3,2031.4,2081.1,2087.6,0,3,0,3,3.1,576,2809.6,30.7,779.2,0,0,0
50630,WA,Boddington,72010,1142,5,1702,836,1652.6,1686.8,1700.6,1786.1,1840.5,4,4,4,6,7.9,444.5,2729.7,28.5,643.3,1,0,1
